iter	Passed	Remaining
165	612	3076
166	615	3069
167	618	3062
168	624	3071
169	627	3064
170	630	3056
171	633	3049
172	638	3050
173	642	3048
174	645	3040
175	647	3033
176	651	3029
177	656	3030
178	659	3022
179	662	3016
180	664	3009
181	669	3008
182	673	3007
183	676	3000
184	679	2994
185	682	2988
186	688	2995
187	691	2988
188	694	2981
189	697	2974
190	702	2974
191	706	2972
192	709	2965
193	712	2958
194	715	2952
195	720	2955
196	723	2948
197	726	2941
198	729	2934
199	733	2932
200	737	2932
201	740	2925
202	743	2918
203	746	2912
204	751	2912
205	755	2910
206	757	2903
207	760	2896
208	764	2893
209	769	2893
210	772	2887
211	774	2880
212	777	2873
213	782	2874
214	786	2873
215	789	2866
216	792	2860
217	795	2854
218	800	2856
219	803	2849
220	806	2843
221	809	2837
222	814	2836
223	818	2836
224	821	2830
225	824	2824
226	830	2826
227	835	2828
228	839	2827
229	843	2822
230	848	2826
231	851	2820
232	854	2814
233	857	2808
234	861	2805
235	866	2804
236	869	2798
237	872	2791
238	874	2785
239	879	2784
240	883	2783
241	887	2778
242	890	2773
243	895	2773
244	899	2770
245	902	2765
246	905	2759
247	909	2758
248	913	2754
249	916	2749
250	919	2744
251	924	2744
252	930	2746
253	933	2741
254	936	2736
255	943	2743
256	947	2738
257	950	2734
258	953	2728
259	960	2733
260	963	2728
261	967	2724
262	970	2719
263	977	2724
264	980	2719
265	983	2714
266	987	2711
267	993	2712
268	996	2707
269	999	2701
270	1002	2697
271	1009	2700
272	1012	2695
273	1015	2690
274	1018	2684
275	1024	2688
276	1027	2683
277	1031	2677
278	1034	2672
279	1037	2668
280	1042	2668
281	1045	2662
282	1048	2657
283	1052	2654
284	1057	2651
285	1059	2646
286	1062	2640
287	1065	2634
288	1070	2634
289	1073	2629
290	1077	2624
291	1079	2618
292	1083	2614
293	1088	2612
294	1090	2607
295	1093	2601
296	1096	2596
297	1101	2594
298	1105	2592
299	1108	2586
300	1111	2580
301	1114	2575
302	1120	2576
303	1123	2571
304	1126	2565
305	1128	2560
306	1133	2557
307	1137	2555
308	1140	2550
309	1143	2545
310	1146	2539
311	1152	2541
312	1155	2535
313	1158	2530
314	1161	2525
315	1165	2523
316	1169	2520
317	1172	2515
318	1175	2510
319	1178	2504
320	1184	2505
321	1187	2500
322	1190	2495
323	1193	2490
324	1197	2487
325	1201	2483
326	1205	2480
327	1208	2475
328	1211	2471
329	1214	2466
330	1217	2461
331	1220	2455
332	1223	2450
333	1226	2445
334	1229	2440
335	1232	2435
336	1235	2430
337	1238	2425
338	1241	2420
339	1244	2415
340	1247	2410
341	1250	2405
342	1253	2400
343	1255	2394
344	1258	2389
345	1261	2384
346	1264	2379
347	1267	2374
348	1270	2369
349	1273	2364
350	1276	2360
351	1279	2354
352	1282	2350
353	1285	2345
354	1287	2340
355	1291	2335
356	1293	2330
357	1296	2325
358	1299	2320
359	1302	2315
360	1305	2310
361	1308	2305
362	1311	2300
363	1313	2295
364	1316	2291
365	1319	2286
366	1322	2281
367	1325	2276
368	1328	2272
369	1331	2267
370	1334	2262
371	1337	2257
372	1340	2253
373	1343	2248
374	1346	2243
375	1349	2239
376	1352	2234
377	1355	2229
378	1358	2225
379	1360	2220
380	1363	2215
381	1366	2211
382	1369	2206
383	1372	2201
384	1375	2196
385	1378	2192
386	1381	2187
387	1384	2183
388	1387	2178
389	1389	2174
390	1393	2169
391	1396	2165
392	1398	2160
393	1401	2156
394	1404	2151
395	1407	2146
396	1410	2142
397	1414	2139
398	1417	2135
399	1422	2134
400	1427	2131
401	1431	2128
402	1433	2124
403	1438	2121
404	1443	2120
405	1445	2115
406	1449	2111
407	1452	2106
408	1458	2106
409	1461	2102
410	1463	2097
411	1466	2093
412	1470	2089
413	1474	2087
414	1477	2083
415	1480	2078
416	1484	2075
417	1491	2076
418	1494	2071
419	1497	2067
420	1500	2062
421	1506	2063
422	1509	2058
423	1512	2054
424	1515	2049
425	1519	2048
426	1524	2045
427	1527	2040
428	1529	2036
429	1533	2032
430	1538	2030
431	1541	2026
432	1544	2021
433	1546	2017
434	1552	2015
435	1556	2013
436	1559	2009
437	1562	2005
438	1567	2002
439	1571	1999
440	1574	1995
441	1577	1991
442	1580	1987
443	1586	1986
444	1589	1981
445	1592	1977
446	1595	1973
447	1599	1970
448	1603	1967
449	1606	1963
450	1609	1959
451	1612	1955
452	1619	1955
453	1622	1951
454	1626	1947
455	1629	1943
456	1636	1943
457	1639	1940
458	1643	1936
459	1648	1934
460	1652	1932
461	1655	1927
462	1658	1923
463	1661	1918
464	1666	1916
465	1669	1912
466	1672	1908
467	1675	1904
468	1679	1901
469	1684	1899
470	1687	1894
471	1690	1890
472	1693	1886
473	1697	1884
474	1701	1880
475	1704	1876
476	1707	1871
477	1711	1869
478	1715	1866
479	1719	1862
480	1722	1858
481	1724	1853
482	1731	1852
483	1734	1848
484	1737	1844
485	1740	1840
486	1744	1837
487	1748	1834
488	1751	1830
489	1754	1826
490	1758	1822
491	1763	1820
492	1766	1816
493	1769	1812
494	1771	1807
495	1776	1805
496	1781	1802
497	1784	1798
498	1787	1794
499	1791	1791
500	1797	1790
501	1800	1785
502	1803	1781
503	1807	1778
504	1812	1776
505	1815	1772
506	1817	1767
507	1821	1763
508	1825	1761
509	1829	1757
510	1832	1753
511	1835	1749
512	1839	1746
513	1844	1743
514	1846	1739
515	1850	1735
516	1853	1731
517	1857	1728
518	1861	1725
519	1864	1720
520	1867	1716
521	1871	1713
522	1875	1710
523	1878	1706
524	1881	1702
525	1884	1698
526	1889	1695
527	1893	1692
528	1896	1688
529	1899	1684
530	1903	1681
531	1908	1678
532	1911	1674
533	1913	1670
534	1916	1665
535	1920	1662
536	1925	1659
537	1928	1655
538	1930	1651
539	1933	1647
540	1939	1645
541	1942	1641
542	1945	1637
543	1948	1632
544	1952	1630
545	1956	1626
546	1959	1622
547	1962	1618
548	1965	1614
549	1969	1611
550	1973	1608
551	1976	1603
552	1979	1599
553	1982	1595
554	1987	1593
555	1990	1589
556	1993	1585
557	1996	1581
558	2000	1578
559	2005	1575
560	2008	1571
561	2010	1567
562	2013	1563
563	2019	1561
564	2022	1556
565	2025	1552
566	2028	1548
567	2031	1545
568	2034	1541
569	2037	1537
570	2040	1533
571	2043	1529
572	2046	1525
573	2049	1521
574	2052	1517
575	2055	1512
576	2058	1509
577	2061	1505
578	2064	1501
579	2067	1496
580	2070	1492
581	2073	1488
582	2075	1484
583	2078	1480
584	2081	1476
585	2084	1472
586	2087	1468
587	2090	1464
588	2093	1460
589	2096	1456
590	2099	1452
591	2102	1448
592	2104	1444
593	2108	1440
594	2111	1436
595	2113	1432
596	2116	1429
597	2119	1425
598	2122	1421
599	2125	1417
600	2128	1413
601	2131	1409
602	2134	1405
603	2137	1401
604	2139	1397
605	2142	1393
606	2145	1389
607	2148	1385
608	2151	1381
609	2154	1377
610	2157	1373
611	2160	1369
612	2163	1365
613	2165	1361
614	2168	1357
615	2171	1353
616	2174	1349
617	2177	1346
618	2180	1342
619	2183	1338
620	2186	1334
621	2189	1330
622	2192	1326
623	2194	1322
624	2197	1318
625	2200	1314
626	2203	1310
627	2206	1307
628	2209	1303
629	2212	1299
630	2215	1295
631	2218	1291
632	2221	1287
633	2224	1284
634	2227	1280
635	2230	1276
636	2233	1272
637	2235	1268
638	2239	1265
639	2242	1261
640	2245	1257
641	2248	1253
642	2251	1249
643	2254	1246
644	2257	1242
645	2260	1238
646	2262	1234
647	2265	1230
648	2268	1227
649	2271	1223
650	2274	1219
651	2277	1215
652	2280	1211
653	2283	1208
654	2286	1204
655	2289	1200
656	2292	1196
657	2294	1192
658	2297	1188
659	2300	1185
660	2303	1181
661	2306	1177
662	2309	1173
663	2312	1170
664	2315	1166
665	2318	1162
666	2321	1158
667	2324	1155
668	2326	1151
669	2329	1147
670	2332	1143
671	2335	1140
672	2338	1136
673	2341	1132
674	2344	1128
675	2348	1125
676	2351	1121
677	2354	1118
678	2357	1114
679	2360	1110
680	2363	1107
681	2366	1103
682	2369	1099
683	2372	1096
684	2375	1092
685	2378	1088
686	2381	1084
687	2384	1081
688	2387	1077
689	2390	1073
690	2393	1070
691	2397	1066
692	2400	1063
693	2403	1059
694	2406	1056
695	2409	1052
696	2412	1048
697	2415	1045
698	2418	1041
699	2421	1037
700	2424	1034
701	2427	1030
702	2430	1026
703	2433	1023
704	2436	1019
705	2439	1015
706	2442	1012
707	2445	1008
708	2448	1005
709	2451	1001
710	2454	997
711	2457	994
712	2460	990
713	2463	986
714	2466	983
715	2469	979
716	2472	975
717	2475	972
718	2478	968
719	2481	964
720	2484	961
721	2487	957
722	2490	954
723	2493	950
724	2495	946
725	2505	945
726	2511	943
727	2515	939
728	2520	936
729	2525	933
730	2528	930
731	2531	926
732	2534	923
733	2538	919
734	2540	916
735	2543	912
736	2546	908
737	2549	905
738	2552	901
739	2555	897
740	2558	894
741	2561	890
742	2564	887
743	2567	883
744	2570	879
745	2573	876
746	2575	872
747	2578	868
748	2581	865
749	2584	861
750	2587	857
751	2590	854
752	2593	850
753	2596	847
754	2599	843
755	2602	839
756	2604	836
757	2607	832
758	2611	829
759	2614	825
760	2617	821
761	2620	818
762	2622	814
763	2625	811
764	2628	807
765	2631	803
766	2634	800
767	2637	796
768	2640	793
769	2642	789
770	2645	785
771	2647	782
772	2650	778
773	2653	774
774	2656	771
775	2659	767
776	2662	764
777	2665	760
778	2668	756
779	2671	753
780	2673	749
781	2676	746
782	2679	742
783	2682	739
784	2685	735
785	2688	731
786	2691	728
787	2693	724
788	2696	721
789	2699	717
790	2702	714
791	2705	710
792	2708	706
793	2711	703
794	2714	699
795	2716	696
796	2719	692
797	2722	689
798	2725	685
799	2728	682
800	2731	678
801	2734	675
802	2737	671
803	2739	667
804	2742	664
805	2745	660
806	2748	657
807	2751	653
808	2754	650
809	2757	646
810	2760	643
811	2763	639
812	2766	636
813	2769	632
814	2772	629
815	2775	625
816	2778	622
817	2781	618
818	2784	615
819	2786	611
820	2789	608
821	2792	604
822	2795	601
823	2798	597
824	2801	594
825	2804	590
826	2807	587
827	2809	583
828	2812	580
829	2815	576
830	2818	573
831	2821	569
832	2824	566
833	2827	562
834	2830	559
835	2832	555
836	2835	552
837	2838	548
838	2841	545
839	2844	541
840	2847	538
841	2850	534
842	2853	531
843	2856	527
844	2859	524
845	2861	520
846	2864	517
847	2867	514
848	2870	510
849	2873	507
850	2876	503
851	2879	500
852	2881	496
853	2884	493
854	2888	489
855	2892	486
856	2896	483
857	2900	480
858	2904	476
859	2908	473
860	2912	470
861	2915	466
862	2920	463
863	2923	460
864	2926	456
865	2930	453
866	2934	450
867	2938	446
868	2942	443
869	2945	440
870	2949	436
871	2953	433
872	2956	430
873	2959	426
874	2962	423
875	2965	419
876	2968	416
877	2971	412
878	2973	409
879	2976	405
880	2979	402
881	2982	399
882	2985	395
883	2988	392
884	2991	388
885	2994	385
886	2997	381
887	2999	378
888	3002	374
889	3005	371
890	3008	368
891	3011	364
892	3014	361
893	3017	357
894	3020	354
895	3023	350
896	3025	347
897	3028	344
898	3031	340
899	3034	337
900	3037	333
901	3040	330
902	3043	326
903	3046	323
904	3049	320
905	3051	316
906	3054	313
907	3057	309
908	3060	306
909	3063	302
910	3066	299
911	3069	296
912	3072	292
913	3074	289
914	3077	285
915	3080	282
916	3083	279
917	3086	275
918	3089	272
919	3092	268
920	3095	265
921	3097	262
922	3100	258
923	3103	255
924	3106	251
925	3109	248
926	3112	245
927	3125	242
928	3133	239
929	3138	236
930	3141	232
931	3144	229
932	3148	226
933	3150	222
934	3153	219
935	3156	215
936	3159	212
937	3162	209
938	3165	205
939	3168	202
940	3171	198
941	3174	195
942	3177	192
943	3179	188
944	3182	185
945	3185	181
946	3188	178
947	3191	175
948	3194	171
949	3197	168
950	3199	164
951	3202	161
952	3205	158
953	3208	154
954	3211	151
955	3214	147
956	3217	144
957	3220	141
958	3223	137
959	3225	134
960	3228	131
961	3231	127
962	3234	124
963	3237	120
964	3240	117
965	3243	114
966	3246	110
967	3248	107
968	3251	104
969	3254	100
970	3257	97
971	3260	93
972	3263	90
973	3266	87
974	3269	83
975	3271	80
976	3274	77
977	3277	73
978	3280	70
979	3283	67
980	3286	63
981	3289	60
982	3292	56
983	3294	53
984	3297	50
985	3300	46
986	3303	43
987	3306	40
988	3309	36
989	3312	33
990	3315	30
991	3317	26
992	3320	23
993	3323	20
994	3326	16
995	3329	13
996	3332	10
997	3335	6
998	3338	3
999	3340	0
