iter	Logloss
0	0.6809113432
1	0.6678422418
2	0.6538829221
3	0.6414522418
4	0.6287663642
5	0.6178530854
6	0.6064115751
7	0.5942490072
8	0.5855300186
9	0.5727252888
10	0.5616746552
11	0.5529604091
12	0.5433132213
13	0.5333430505
14	0.5228595318
15	0.5124143092
16	0.5022474887
17	0.4939931938
18	0.486299594
19	0.4784583526
20	0.4697977953
21	0.4620018406
22	0.4540511967
23	0.4461338805
24	0.4394253677
25	0.4318859269
26	0.4251340884
27	0.4186769309
28	0.4115372157
29	0.4061486936
30	0.4000699712
31	0.3936543458
32	0.3873375264
33	0.3817657206
34	0.3765181779
35	0.3709959125
36	0.365913273
37	0.3607559475
38	0.3563216111
39	0.3516357448
40	0.3468820096
41	0.3420595719
42	0.3378984484
43	0.3333760908
44	0.3292753757
45	0.3251083286
46	0.3216262828
47	0.3172069926
48	0.3137742729
49	0.3107429939
50	0.3075611272
51	0.3046242205
52	0.3006171458
53	0.2977355754
54	0.2948236968
55	0.2913350605
56	0.2888383946
57	0.2855374215
58	0.2822106575
59	0.279363055
60	0.2762067899
61	0.2728171662
62	0.2697333299
63	0.2664611901
64	0.2637090293
65	0.2610796065
66	0.2588242786
67	0.2557205677
68	0.2532579225
69	0.2503006797
70	0.2482053056
71	0.2452031094
72	0.2428407037
73	0.2404755427
74	0.2385454647
75	0.2362852108
76	0.2341055841
77	0.2321848609
78	0.2301681927
79	0.2282844626
80	0.2263391952
81	0.2245571181
82	0.2223703383
83	0.2202972956
84	0.2185140303
85	0.2165397409
86	0.2144036932
87	0.2127286409
88	0.2110681291
89	0.2094339279
90	0.2074259101
91	0.2063508077
92	0.2048139309
93	0.2034215029
94	0.2020613528
95	0.2005013248
96	0.1990996911
97	0.1979115179
98	0.1964613238
99	0.1950977314
100	0.1939389373
101	0.1921898162
102	0.190505842
103	0.1892917974
104	0.1879355988
105	0.1866817863
106	0.1855170937
107	0.1845339961
108	0.1837847998
109	0.1825494008
110	0.1813212278
111	0.1802485845
112	0.1789862503
113	0.1780814833
114	0.1772556401
115	0.1762156331
116	0.1749854948
117	0.1739185744
118	0.1729458069
119	0.1716930399
120	0.1707086783
121	0.1700188538
122	0.1690447065
123	0.1682086751
124	0.1672192538
125	0.1662889343
126	0.1653134409
127	0.1643160855
128	0.1632781269
129	0.1623045137
130	0.1614259525
131	0.1606722364
132	0.1598223978
133	0.1588104737
134	0.1578884819
135	0.1568733508
136	0.1561725207
137	0.1552651068
138	0.1544395939
139	0.1535196461
140	0.1528525034
141	0.1521862412
142	0.1516505978
143	0.1509106206
144	0.1498276028
145	0.1491556475
146	0.1486107264
147	0.1479405617
148	0.1469455629
149	0.1463286301
150	0.1455294278
151	0.1449188599
152	0.1441045722
153	0.1433901783
154	0.1428196295
155	0.1424704941
156	0.1418448259
157	0.1413472965
158	0.1408575112
159	0.1401931493
160	0.1395407845
161	0.138856651
162	0.1383679286
163	0.1378142575
164	0.1373293429
165	0.1366400537
166	0.1360504489
167	0.1353337063
168	0.1348834477
169	0.1342176086
170	0.1337158457
171	0.1333704972
172	0.132686841
173	0.1322227794
174	0.1316756748
175	0.1312223721
176	0.1307826536
177	0.130311988
178	0.1297901591
179	0.1293460539
180	0.1287987937
181	0.1285089858
182	0.1282281493
183	0.1276348853
184	0.127102587
185	0.1265448918
186	0.1259854873
187	0.1255405814
188	0.1251258747
189	0.1246220143
190	0.1240495186
191	0.12335012
192	0.1230187963
193	0.1226434937
194	0.1220870451
195	0.1215459519
196	0.1209563356
197	0.1206591818
198	0.1202700393
199	0.1199119413
200	0.1194744703
201	0.1191040472
202	0.1185785324
203	0.118212468
204	0.1178309643
205	0.1174523382
206	0.1170617288
207	0.1168115882
208	0.1163939488
209	0.1159507281
210	0.1157114144
211	0.1153691657
212	0.1149274051
213	0.1145738068
214	0.1141407985
215	0.1137108382
216	0.1134564088
217	0.1129644377
218	0.1126664054
219	0.1120636315
220	0.1115094993
221	0.1110664528
222	0.1106181461
223	0.110249025
224	0.110016384
225	0.1097796986
226	0.1094959203
227	0.1091728143
228	0.1089092692
229	0.1086182537
230	0.108361907
231	0.1079772825
232	0.107609153
233	0.1073636376
234	0.1071736368
235	0.1068997806
236	0.1066363758
237	0.1062593633
238	0.105991121
239	0.1057298851
240	0.1054746967
241	0.105124421
242	0.1048212419
243	0.104429279
244	0.1041862153
245	0.1038483314
246	0.1036466614
247	0.1033397329
248	0.1030974798
249	0.1027839662
250	0.1023858979
251	0.1020559833
252	0.1017393175
253	0.1014042323
254	0.1010763076
255	0.1007630624
256	0.1004580066
257	0.1000990667
258	0.09989077136
259	0.09960079783
260	0.09940303756
261	0.0992261744
262	0.09903349676
263	0.09864429506
264	0.09843308507
265	0.09837890192
266	0.09806698284
267	0.09769219447
268	0.09739839303
269	0.09722678923
270	0.09704834584
271	0.09686406552
272	0.09667128324
273	0.09642979027
274	0.09617344705
275	0.09590591634
276	0.09563859197
277	0.09535280457
278	0.09513757349
279	0.09473150348
280	0.09438392121
281	0.09416686325
282	0.09394760794
283	0.09354112264
284	0.09323268724
285	0.09294155217
